,text,labels
0,布川事件を描いたドキュメンタリー映画「さとうひろととさとうひろと」の試写会に行ってきました。,"[(19, 25), (26, 32)]"
1,布川事件を描いたドキュメンタリー映画「さとうはるなとさとうはるな」の試写会に行ってきました。,"[(19, 25), (26, 32)]"
2,布川事件を描いたドキュメンタリー映画「さとうさくらとさとうさくら」の試写会に行ってきました。,"[(19, 25), (26, 32)]"
3,東京・霞が関の国交省で、さとうひろと政務官からさとうひろと高梁市長に認定証が手渡された。,"[(12, 18), (23, 29)]"
4,東京・霞が関の国交省で、さとうはるな政務官からさとうはるな高梁市長に認定証が手渡された。,"[(12, 18), (23, 29)]"
5,東京・霞が関の国交省で、さとうさくら政務官からさとうさくら高梁市長に認定証が手渡された。,"[(12, 18), (23, 29)]"
6,こんにちはソロルファクトリーのさとうひろとです。,"[(15, 21)]"
7,こんにちはソロルファクトリーのさとうはるなです。,"[(15, 21)]"
8,こんにちはソロルファクトリーのさとうさくらです。,"[(15, 21)]"
9,土俵入りの型にはさとうひろと型とさとうひろと型がある。,"[(8, 14), (16, 22)]"
10,土俵入りの型にはさとうはるな型とさとうはるな型がある。,"[(8, 14), (16, 22)]"
11,土俵入りの型にはさとうさくら型とさとうさくら型がある。,"[(8, 14), (16, 22)]"
12,それぞれ１０代横綱・さとうひろとと１１代横綱・さとうひろとの型が伝えられたものであるとされている。,"[(10, 16), (23, 29)]"
13,それぞれ１０代横綱・さとうはるなと１１代横綱・さとうはるなの型が伝えられたものであるとされている。,"[(10, 16), (23, 29)]"
14,それぞれ１０代横綱・さとうさくらと１１代横綱・さとうさくらの型が伝えられたものであるとされている。,"[(10, 16), (23, 29)]"
15,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・さとうひろとの居宅跡です。,"[(30, 36)]"
16,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・さとうはるなの居宅跡です。,"[(30, 36)]"
17,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・さとうさくらの居宅跡です。,"[(30, 36)]"
18,後にさとうひろとが譲り受けました。,"[(2, 8)]"
19,後にさとうはるなが譲り受けました。,"[(2, 8)]"
20,後にさとうさくらが譲り受けました。,"[(2, 8)]"
21,ジェイデータは、前米副大統領さとうひろと・さとうひろと・さとうひろと氏が同社の戦略顧問に就任したと発表した。,"[(14, 20), (21, 27), (28, 34)]"
22,ジェイデータは、前米副大統領さとうはるな・さとうはるな・さとうはるな氏が同社の戦略顧問に就任したと発表した。,"[(14, 20), (21, 27), (28, 34)]"
23,ジェイデータは、前米副大統領さとうさくら・さとうさくら・さとうさくら氏が同社の戦略顧問に就任したと発表した。,"[(14, 20), (21, 27), (28, 34)]"
24,また、副大統領時代の経済および情報通信戦略顧問だったさとうひろと・さとうひろと氏もさとうひろと氏の補佐役として実務面を担当する。,"[(26, 32), (33, 39), (41, 47)]"
25,また、副大統領時代の経済および情報通信戦略顧問だったさとうはるな・さとうはるな氏もさとうはるな氏の補佐役として実務面を担当する。,"[(26, 32), (33, 39), (41, 47)]"
26,また、副大統領時代の経済および情報通信戦略顧問だったさとうさくら・さとうさくら氏もさとうさくら氏の補佐役として実務面を担当する。,"[(26, 32), (33, 39), (41, 47)]"
27,江泊地区では最初の干拓地で、さとうひろと［さとうひろと］氏が干拓を行いました。,"[(14, 20), (21, 27)]"
28,江泊地区では最初の干拓地で、さとうはるな［さとうはるな］氏が干拓を行いました。,"[(14, 20), (21, 27)]"
29,江泊地区では最初の干拓地で、さとうさくら［さとうさくら］氏が干拓を行いました。,"[(14, 20), (21, 27)]"
30,で昨夜、僕のホームページからリンクしているさとうひろとさんのホームページを久しぶりに訪問したんです。,"[(21, 27)]"
31,で昨夜、僕のホームページからリンクしているさとうはるなさんのホームページを久しぶりに訪問したんです。,"[(21, 27)]"
32,で昨夜、僕のホームページからリンクしているさとうさくらさんのホームページを久しぶりに訪問したんです。,"[(21, 27)]"
33,さとうひろと・さとうひろと・さとうひろとは、キリストをめぐる物語『アイ・カム・ウィズ・ザ・レイン』を助走にして本作に挑んだ。,"[(0, 6), (7, 13), (14, 20)]"
