,text,labels
0,布川事件を描いたドキュメンタリー映画「佐藤蓮と佐藤蓮」の試写会に行ってきました。,"[(19, 22), (23, 26)]"
1,布川事件を描いたドキュメンタリー映画「佐藤美咲佐藤美咲オ」の試写会に行ってきました。,"[(19, 23), (23, 27)]"
2,布川事件を描いたドキュメンタリー映画「佐藤美咲佐藤美咲オ」の試写会に行ってきました。,"[(19, 23), (23, 27)]"
3,布川事件を描いたドキュメンタリー映画「佐藤颯太佐藤颯太オ」の試写会に行ってきました。,"[(19, 23), (23, 27)]"
4,東京・霞が関の国交省で、佐藤蓮政務官から佐藤蓮高梁市長に認定証が手渡された。,"[(12, 15), (20, 23)]"
5,東京・霞が関の国交省で、佐藤美咲政務官か佐藤美咲則高梁市長に認定証が手渡された。,"[(12, 16), (20, 24)]"
6,東京・霞が関の国交省で、佐藤美咲政務官か佐藤美咲則高梁市長に認定証が手渡された。,"[(12, 16), (20, 24)]"
7,東京・霞が関の国交省で、佐藤颯太政務官か佐藤颯太則高梁市長に認定証が手渡された。,"[(12, 16), (20, 24)]"
8,こんにちはソロルファクトリーの佐藤蓮です。,"[(15, 18)]"
9,こんにちはソロルファクトリーの佐藤美咲です。,"[(15, 19)]"
10,こんにちはソロルファクトリーの佐藤美咲です。,"[(15, 19)]"
11,こんにちはソロルファクトリーの佐藤颯太です。,"[(15, 19)]"
12,土俵入りの型には佐藤蓮型と佐藤蓮型がある。,"[(8, 11), (13, 16)]"
13,土俵入りの型には佐藤美咲型と不佐藤美咲がある。,"[(8, 12), (15, 19)]"
14,土俵入りの型には佐藤美咲型と不知火佐藤美咲る。,"[(8, 12), (17, 21)]"
15,土俵入りの型には佐藤颯太型と不知火型が佐藤颯太,"[(8, 12), (19, 23)]"
16,それぞれ１０代横綱・佐藤蓮と１１代横綱・佐藤蓮の型が伝えられたものであるとされている。,"[(10, 13), (20, 23)]"
17,それぞれ１０代横綱・佐藤美咲と１１代横綱佐藤美咲門の型が伝えられたものであるとされている。,"[(10, 14), (20, 24)]"
18,それぞれ１０代横綱・佐藤美咲と１１代横綱佐藤美咲門の型が伝えられたものであるとされている。,"[(10, 14), (20, 24)]"
19,それぞれ１０代横綱・佐藤颯太と１１代横綱佐藤颯太門の型が伝えられたものであるとされている。,"[(10, 14), (20, 24)]"
20,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・佐藤蓮の居宅跡です。,"[(30, 33)]"
21,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・佐藤美咲の居宅跡です。,"[(30, 34)]"
22,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・佐藤美咲の居宅跡です。,"[(30, 34)]"
23,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・佐藤颯太の居宅跡です。,"[(30, 34)]"
24,後に佐藤蓮が譲り受けました。,"[(2, 5)]"
25,後に佐藤美咲が譲り受けました。,"[(2, 6)]"
26,後に佐藤美咲が譲り受けました。,"[(2, 6)]"
27,後に佐藤颯太が譲り受けました。,"[(2, 6)]"
28,ジェイデータは、前米副大統領佐藤蓮・佐藤蓮・佐藤蓮氏が同社の戦略顧問に就任したと発表した。,"[(14, 17), (18, 21), (22, 25)]"
29,ジェイデータは、前米副大統領佐藤美佐藤美咲ゴア佐藤美咲ア氏が同社の戦略顧問に就任したと発表した。,"[(14, 18), (17, 21), (23, 27)]"
30,ジェイデータは、前米副大統領佐藤佐藤美咲・ゴア・佐藤美咲氏が同社の戦略顧問に就任したと発表した。,"[(14, 18), (16, 20), (24, 28)]"
31,ジェイデータは、前米副大統領佐佐藤颯太太・ゴア・ジ佐藤颯太が同社の戦略顧問に就任したと発表した。,"[(14, 18), (15, 19), (25, 29)]"
32,また、副大統領時代の経済および情報通信戦略顧問だった佐藤蓮・佐藤蓮氏も佐藤蓮氏の補佐役として実務面を担当する。,"[(26, 29), (30, 33), (35, 38)]"
33,また、副大統領時代の経済および情報通信戦略顧問だった佐藤美咲佐藤美咲ン佐藤美咲ゴア氏の補佐役として実務面を担当する。,"[(26, 30), (30, 34), (35, 39)]"
34,また、副大統領時代の経済および情報通信戦略顧問だった佐藤美咲佐藤美咲ン佐藤美咲ゴア氏の補佐役として実務面を担当する。,"[(26, 30), (30, 34), (35, 39)]"
35,また、副大統領時代の経済および情報通信戦略顧問だった佐藤颯太佐藤颯太ン佐藤颯太ゴア氏の補佐役として実務面を担当する。,"[(26, 30), (30, 34), (35, 39)]"
36,江泊地区では最初の干拓地で、佐藤蓮［佐藤蓮］氏が干拓を行いました。,"[(14, 17), (18, 21)]"
37,江泊地区では最初の干拓地で、佐藤美咲佐藤美咲り］氏が干拓を行いました。,"[(14, 18), (18, 22)]"
38,江泊地区では最初の干拓地で、佐藤美咲佐藤美咲り］氏が干拓を行いました。,"[(14, 18), (18, 22)]"
39,江泊地区では最初の干拓地で、佐藤颯太佐藤颯太り］氏が干拓を行いました。,"[(14, 18), (18, 22)]"
40,で昨夜、僕のホームページからリンクしている佐藤蓮さんのホームページを久しぶりに訪問したんです。,"[(21, 24)]"
41,で昨夜、僕のホームページからリンクしている佐藤美咲さんのホームページを久しぶりに訪問したんです。,"[(21, 25)]"
42,で昨夜、僕のホームページからリンクしている佐藤美咲さんのホームページを久しぶりに訪問したんです。,"[(21, 25)]"
43,で昨夜、僕のホームページからリンクしている佐藤颯太さんのホームページを久しぶりに訪問したんです。,"[(21, 25)]"
44,佐藤蓮・佐藤蓮・佐藤蓮は、キリストをめぐる物語『アイ・カム・ウィズ・ザ・レイン』を助走にして本作に挑んだ。,"[(0, 3), (4, 7), (8, 11)]"
45,佐藤美咲・佐藤美咲・ユ佐藤美咲、キリストをめぐる物語『アイ・カム・ウィズ・ザ・レイン』を助走にして本作に挑んだ。,"[(0, 4), (5, 9), (11, 15)]"
46,佐藤美咲・ア佐藤美咲ユンは、佐藤美咲ストをめぐる物語『アイ・カム・ウィズ・ザ・レイン』を助走にして本作に挑んだ。,"[(0, 4), (6, 10), (14, 18)]"
47,佐藤颯太・アン佐藤颯太ンは、キリス佐藤颯太めぐる物語『アイ・カム・ウィズ・ザ・レイン』を助走にして本作に挑んだ。,"[(0, 4), (7, 11), (17, 21)]"
48,佐藤蓮の政治活動にご支援いただける後援会員を募集しております。,"[(0, 3)]"
49,佐藤美咲の政治活動にご支援いただける後援会員を募集しております。,"[(0, 4)]"
50,佐藤美咲の政治活動にご支援いただける後援会員を募集しております。,"[(0, 4)]"
51,佐藤颯太の政治活動にご支援いただける後援会員を募集しております。,"[(0, 4)]"
52,将来は佐藤蓮一軍投手コーチのような活躍を目指したい。,"[(3, 6)]"
53,将来は佐藤美咲一軍投手コーチのような活躍を目指したい。,"[(3, 7)]"
54,将来は佐藤美咲一軍投手コーチのような活躍を目指したい。,"[(3, 7)]"
55,将来は佐藤颯太一軍投手コーチのような活躍を目指したい。,"[(3, 7)]"
56,異彩を放つのが東北楽天ドラフト１位の左腕・佐藤蓮投手だ。,"[(21, 24)]"
57,異彩を放つのが東北楽天ドラフト１位の左腕・佐藤美咲投手だ。,"[(21, 25)]"
58,異彩を放つのが東北楽天ドラフト１位の左腕・佐藤美咲投手だ。,"[(21, 25)]"
59,異彩を放つのが東北楽天ドラフト１位の左腕・佐藤颯太投手だ。,"[(21, 25)]"
60,佐藤蓮はストレートはもちろんだが、カーブ、チェンジアップなどの変化球と制球力を高く評価されてきた。,"[(0, 3)]"
61,佐藤美咲はストレートはもちろんだが、カーブ、チェンジアップなどの変化球と制球力を高く評価されてきた。,"[(0, 4)]"
62,佐藤美咲はストレートはもちろんだが、カーブ、チェンジアップなどの変化球と制球力を高く評価されてきた。,"[(0, 4)]"
63,佐藤颯太はストレートはもちろんだが、カーブ、チェンジアップなどの変化球と制球力を高く評価されてきた。,"[(0, 4)]"
64,米大統領選の民主党候補指名を争う佐藤蓮上院議員に対して佐藤蓮上院議員が怒った。,"[(16, 19), (27, 30)]"
65,米大統領選の民主党候補指名を争う佐藤美咲上院議員に対佐藤美咲バマ上院議員が怒った。,"[(16, 20), (26, 30)]"
66,米大統領選の民主党候補指名を争う佐藤美咲上院議員に佐藤美咲オバマ上院議員が怒った。,"[(16, 20), (25, 29)]"
67,米大統領選の民主党候補指名を争う佐藤颯太上院議員佐藤颯太てオバマ上院議員が怒った。,"[(16, 20), (24, 28)]"
68,佐藤蓮氏の失言を執拗に追及する佐藤蓮氏の戦術が腹に据えかねたよう。,"[(0, 3), (15, 18)]"
