,text,labels
0,布川事件を描いたドキュメンタリー映画「サトウヒロトとサトウヒロト」の試写会に行ってきました。,"[(19, 25), (26, 32)]"
1,布川事件を描いたドキュメンタリー映画「サトウハルナとサトウハルナ」の試写会に行ってきました。,"[(19, 25), (26, 32)]"
2,布川事件を描いたドキュメンタリー映画「サトウサクラとサトウサクラ」の試写会に行ってきました。,"[(19, 25), (26, 32)]"
3,東京・霞が関の国交省で、サトウヒロト政務官からサトウヒロト高梁市長に認定証が手渡された。,"[(12, 18), (23, 29)]"
4,東京・霞が関の国交省で、サトウハルナ政務官からサトウハルナ高梁市長に認定証が手渡された。,"[(12, 18), (23, 29)]"
5,東京・霞が関の国交省で、サトウサクラ政務官からサトウサクラ高梁市長に認定証が手渡された。,"[(12, 18), (23, 29)]"
6,こんにちはソロルファクトリーのサトウヒロトです。,"[(15, 21)]"
7,こんにちはソロルファクトリーのサトウハルナです。,"[(15, 21)]"
8,こんにちはソロルファクトリーのサトウサクラです。,"[(15, 21)]"
9,土俵入りの型にはサトウヒロト型とサトウヒロト型がある。,"[(8, 14), (16, 22)]"
10,土俵入りの型にはサトウハルナ型とサトウハルナ型がある。,"[(8, 14), (16, 22)]"
11,土俵入りの型にはサトウサクラ型とサトウサクラ型がある。,"[(8, 14), (16, 22)]"
12,それぞれ１０代横綱・サトウヒロトと１１代横綱・サトウヒロトの型が伝えられたものであるとされている。,"[(10, 16), (23, 29)]"
13,それぞれ１０代横綱・サトウハルナと１１代横綱・サトウハルナの型が伝えられたものであるとされている。,"[(10, 16), (23, 29)]"
14,それぞれ１０代横綱・サトウサクラと１１代横綱・サトウサクラの型が伝えられたものであるとされている。,"[(10, 16), (23, 29)]"
15,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・サトウヒロトの居宅跡です。,"[(30, 36)]"
16,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・サトウハルナの居宅跡です。,"[(30, 36)]"
17,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・サトウサクラの居宅跡です。,"[(30, 36)]"
18,後にサトウヒロトが譲り受けました。,"[(2, 8)]"
19,後にサトウハルナが譲り受けました。,"[(2, 8)]"
20,後にサトウサクラが譲り受けました。,"[(2, 8)]"
21,ジェイデータは、前米副大統領サトウヒロト・サトウヒロト・サトウヒロト氏が同社の戦略顧問に就任したと発表した。,"[(14, 20), (21, 27), (28, 34)]"
22,ジェイデータは、前米副大統領サトウハルナ・サトウハルナ・サトウハルナ氏が同社の戦略顧問に就任したと発表した。,"[(14, 20), (21, 27), (28, 34)]"
23,ジェイデータは、前米副大統領サトウサクラ・サトウサクラ・サトウサクラ氏が同社の戦略顧問に就任したと発表した。,"[(14, 20), (21, 27), (28, 34)]"
24,また、副大統領時代の経済および情報通信戦略顧問だったサトウヒロト・サトウヒロト氏もサトウヒロト氏の補佐役として実務面を担当する。,"[(26, 32), (33, 39), (41, 47)]"
25,また、副大統領時代の経済および情報通信戦略顧問だったサトウハルナ・サトウハルナ氏もサトウハルナ氏の補佐役として実務面を担当する。,"[(26, 32), (33, 39), (41, 47)]"
26,また、副大統領時代の経済および情報通信戦略顧問だったサトウサクラ・サトウサクラ氏もサトウサクラ氏の補佐役として実務面を担当する。,"[(26, 32), (33, 39), (41, 47)]"
27,江泊地区では最初の干拓地で、サトウヒロト［サトウヒロト］氏が干拓を行いました。,"[(14, 20), (21, 27)]"
28,江泊地区では最初の干拓地で、サトウハルナ［サトウハルナ］氏が干拓を行いました。,"[(14, 20), (21, 27)]"
29,江泊地区では最初の干拓地で、サトウサクラ［サトウサクラ］氏が干拓を行いました。,"[(14, 20), (21, 27)]"
30,で昨夜、僕のホームページからリンクしているサトウヒロトさんのホームページを久しぶりに訪問したんです。,"[(21, 27)]"
31,で昨夜、僕のホームページからリンクしているサトウハルナさんのホームページを久しぶりに訪問したんです。,"[(21, 27)]"
32,で昨夜、僕のホームページからリンクしているサトウサクラさんのホームページを久しぶりに訪問したんです。,"[(21, 27)]"
33,サトウヒロト・サトウヒロト・サトウヒロトは、キリストをめぐる物語『アイ・カム・ウィズ・ザ・レイン』を助走にして本作に挑んだ。,"[(0, 6), (7, 13), (14, 20)]"
34,サトウハルナ・サトウハルナ・サトウハルナは、キリストをめぐる物語『アイ・カム・ウィズ・ザ・レイン』を助走にして本作に挑んだ。,"[(0, 6), (7, 13), (14, 20)]"
35,サトウサクラ・サトウサクラ・サトウサクラは、キリストをめぐる物語『アイ・カム・ウィズ・ザ・レイン』を助走にして本作に挑んだ。,"[(0, 6), (7, 13), (14, 20)]"
36,サトウヒロトの政治活動にご支援いただける後援会員を募集しております。,"[(0, 6)]"
37,サトウハルナの政治活動にご支援いただける後援会員を募集しております。,"[(0, 6)]"
