,text,labels
0,布川事件を描いたドキュメンタリー映画「satohasuとsatohasu」の試写会に行ってきました。,"[(19, 27), (28, 36)]"
1,布川事件を描いたドキュメンタリー映画「satosakuraとタカオ」satosakura会に行ってきました。,"[(19, 29), (34, 44)]"
2,布川事件を描いたドキュメンタリー映画「satomisakiとタカオ」の試写会に行satomisakiました。,"[(19, 29), (40, 50)]"
3,布川事件を描いたドキュメンタリー映画「satomisakiとタカオ」の試写会に行ってきましたsatomisaki,"[(19, 29), (46, 56)]"
4,布川事件を描いたドキュメンタリー映画「satofuutaとタカオ」の試写会に行ってきました。satofuuta,"[(19, 28), (51, 60)]"
5,東京・霞が関の国交省で、satohasu政務官からsatohasu高梁市長に認定証が手渡された。,"[(12, 20), (25, 33)]"
6,東京・霞が関の国交省で、satosakura政務官から近藤隆則satosakuraに認定証が手渡された。,"[(12, 22), (31, 41)]"
7,東京・霞が関の国交省で、satomisaki政務官から近藤隆則高梁市長に認satomisaki渡された。,"[(12, 22), (37, 47)]"
8,東京・霞が関の国交省で、satomisaki政務官から近藤隆則高梁市長に認定証が手渡さsatomisaki,"[(12, 22), (43, 53)]"
9,東京・霞が関の国交省で、satofuuta政務官から近藤隆則高梁市長に認定証が手渡された。satofuuta,"[(12, 21), (48, 57)]"
10,こんにちはソロルファクトリーのsatohasuです。,"[(15, 23)]"
11,こんにちはソロルファクトリーのsatosakuraです。,"[(15, 25)]"
12,こんにちはソロルファクトリーのsatomisakiです。,"[(15, 25)]"
13,こんにちはソロルファクトリーのsatomisakiです。,"[(15, 25)]"
14,こんにちはソロルファクトリーのsatofuutaです。,"[(15, 24)]"
15,土俵入りの型にはsatohasu型とsatohasu型がある。,"[(8, 16), (18, 26)]"
16,土俵入りの型にはsatosakura型と不知火型があsatosakura,"[(8, 18), (26, 36)]"
17,土俵入りの型にはsatomisaki型と不知火型がある。satomisaki,"[(8, 18), (34, 44)]"
18,土俵入りの型にはsatomisaki型と不知火型がある。satomisaki,"[(8, 18), (42, 52)]"
19,土俵入りの型にはsatofuuta型と不知火型がある。satofuuta,"[(8, 17), (49, 58)]"
20,それぞれ１０代横綱・satohasuと１１代横綱・satohasuの型が伝えられたものであるとされている。,"[(10, 18), (25, 33)]"
21,それぞれ１０代横綱・satosakuraと１１代横綱・不知火光satosakuraえられたものであるとされている。,"[(10, 20), (31, 41)]"
22,それぞれ１０代横綱・satomisakiと１１代横綱・不知火光右衛門の型がsatomisakiであるとされている。,"[(10, 20), (37, 47)]"
23,それぞれ１０代横綱・satomisakiと１１代横綱・不知火光右衛門の型が伝えられたもsatomisakiている。,"[(10, 20), (43, 53)]"
24,それぞれ１０代横綱・satofuutaと１１代横綱・不知火光右衛門の型が伝えられたものであるとさsatofuuta,"[(10, 19), (48, 57)]"
25,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・satohasuの居宅跡です。,"[(30, 38)]"
26,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・satosakuraの居宅跡です。,"[(30, 40)]"
27,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・satomisakiの居宅跡です。,"[(30, 40)]"
28,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・satomisakiの居宅跡です。,"[(30, 40)]"
29,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・satofuutaの居宅跡です。,"[(30, 39)]"
30,後にsatohasuが譲り受けました。,"[(2, 10)]"
31,後にsatosakuraが譲り受けました。,"[(2, 12)]"
32,後にsatomisakiが譲り受けました。,"[(2, 12)]"
33,後にsatomisakiが譲り受けました。,"[(2, 12)]"
34,後にsatofuutaが譲り受けました。,"[(2, 11)]"
35,ジェイデータは、前米副大統領satohasu・satohasu・satohasu氏が同社の戦略顧問に就任したと発表した。,"[(14, 22), (23, 31), (32, 40)]"
36,ジェイデータは、前米副大統領satosakura・ゴア・satosakuraニア氏が同社のsatosakuraに就任したと発表した。,"[(14, 24), (28, 38), (45, 55)]"
37,ジェイデータは、前米副大統領satomisaki・ゴア・ジュニア氏satomisaki社の戦略顧問に就任したと発表しsatomisaki,"[(14, 24), (33, 43), (58, 68)]"
38,ジェイデータは、前米副大統領satomisaki・ゴア・ジュニア氏が同社の戦satomisaki問に就任したと発表した。satomisaki,"[(14, 24), (38, 48), (71, 81)]"
39,ジェイデータは、前米副大統領satofuuta・ゴア・ジュニア氏が同社の戦略顧問に就satofuutaたと発表した。satofuuta,"[(14, 23), (42, 51), (82, 91)]"
40,また、副大統領時代の経済および情報通信戦略顧問だったsatohasu・satohasu氏もsatohasu氏の補佐役として実務面を担当する。,"[(26, 34), (35, 43), (45, 53)]"
41,また、副大統領時代の経済および情報通信戦略顧問だったsatosakura・サイモンsatosakura氏の補佐役とsatosakura実務面を担当する。,"[(26, 36), (41, 51), (57, 67)]"
42,また、副大統領時代の経済および情報通信戦略顧問だったsatomisaki・サイモン氏もゴア氏のsatomisakiして実務面を担当する。satomisaki,"[(26, 36), (47, 57), (69, 79)]"
43,また、副大統領時代の経済および情報通信戦略顧問だったsatomisaki・サイモン氏もゴア氏の補佐役としてsatomisaki担当する。satomisaki,"[(26, 36), (53, 63), (81, 91)]"
44,また、副大統領時代の経済および情報通信戦略顧問だったsatofuuta・サイモン氏もゴア氏の補佐役として実務面を担当satofuutasatofuuta,"[(26, 35), (58, 67), (91, 100)]"
45,江泊地区では最初の干拓地で、satohasu［satohasu］氏が干拓を行いました。,"[(14, 22), (23, 31)]"
46,江泊地区では最初の干拓地で、satosakura［みぎたもsatosakura拓を行いました。,"[(14, 24), (29, 39)]"
47,江泊地区では最初の干拓地で、satomisaki［みぎたもうり］氏が干satomisakiた。,"[(14, 24), (35, 45)]"
48,江泊地区では最初の干拓地で、satomisaki［みぎたもうり］氏が干拓を行いましsatomisaki,"[(14, 24), (41, 51)]"
49,江泊地区では最初の干拓地で、satofuuta［みぎたもうり］氏が干拓を行いました。satofuuta,"[(14, 23), (46, 55)]"
50,で昨夜、僕のホームページからリンクしているsatohasuさんのホームページを久しぶりに訪問したんです。,"[(21, 29)]"
51,で昨夜、僕のホームページからリンクしているsatosakuraさんのホームページを久しぶりに訪問したんです。,"[(21, 31)]"
52,で昨夜、僕のホームページからリンクしているsatomisakiさんのホームページを久しぶりに訪問したんです。,"[(21, 31)]"
53,で昨夜、僕のホームページからリンクしているsatomisakiさんのホームページを久しぶりに訪問したんです。,"[(21, 31)]"
54,で昨夜、僕のホームページからリンクしているsatofuutaさんのホームページを久しぶりに訪問したんです。,"[(21, 30)]"
55,satohasu・satohasu・satohasuは、キリストをめぐる物語『アイ・カム・ウィズ・ザ・レイン』を助走にして本作に挑んだ。,"[(0, 8), (9, 17), (18, 26)]"
56,satosakura・アン・ユンsatosakuraキリストをめぐsatosakura語『アイ・カム・ウィズ・ザ・レイン』を助走にして本作に挑んだ。,"[(0, 10), (16, 26), (33, 43)]"
57,satomisaki・アン・ユンは、キリストをsatomisakiる物語『アイ・カム・ウィズ・ザsatomisakiイン』を助走にして本作に挑んだ。,"[(0, 10), (23, 33), (48, 58)]"
58,satomisaki・アン・ユンは、キリストをめぐる物語『アsatomisakiカム・ウィズ・ザ・レイン』を助走にして本作に挑satomisaki。,"[(0, 10), (30, 40), (63, 73)]"
59,satofuuta・アン・ユンは、キリストをめぐる物語『アイ・カム・ウィsatofuutaザ・レイン』を助走にして本作に挑んだ。satofuuta,"[(0, 9), (36, 45), (76, 85)]"
60,satohasuの政治活動にご支援いただける後援会員を募集しております。,"[(0, 8)]"
61,satosakuraの政治活動にご支援いただける後援会員を募集しております。,"[(0, 10)]"
62,satomisakiの政治活動にご支援いただける後援会員を募集しております。,"[(0, 10)]"
63,satomisakiの政治活動にご支援いただける後援会員を募集しております。,"[(0, 10)]"
64,satofuutaの政治活動にご支援いただける後援会員を募集しております。,"[(0, 9)]"
65,将来はsatohasu一軍投手コーチのような活躍を目指したい。,"[(3, 11)]"
66,将来はsatosakura一軍投手コーチのような活躍を目指したい。,"[(3, 13)]"
67,将来はsatomisaki一軍投手コーチのような活躍を目指したい。,"[(3, 13)]"
68,将来はsatomisaki一軍投手コーチのような活躍を目指したい。,"[(3, 13)]"
69,将来はsatofuuta一軍投手コーチのような活躍を目指したい。,"[(3, 12)]"
70,異彩を放つのが東北楽天ドラフト１位の左腕・satohasu投手だ。,"[(21, 29)]"
71,異彩を放つのが東北楽天ドラフト１位の左腕・satosakura投手だ。,"[(21, 31)]"
72,異彩を放つのが東北楽天ドラフト１位の左腕・satomisaki投手だ。,"[(21, 31)]"
73,異彩を放つのが東北楽天ドラフト１位の左腕・satomisaki投手だ。,"[(21, 31)]"
74,異彩を放つのが東北楽天ドラフト１位の左腕・satofuuta投手だ。,"[(21, 30)]"
75,satohasuはストレートはもちろんだが、カーブ、チェンジアップなどの変化球と制球力を高く評価されてきた。,"[(0, 8)]"
76,satosakuraはストレートはもちろんだが、カーブ、チェンジアップなどの変化球と制球力を高く評価されてきた。,"[(0, 10)]"
77,satomisakiはストレートはもちろんだが、カーブ、チェンジアップなどの変化球と制球力を高く評価されてきた。,"[(0, 10)]"
78,satomisakiはストレートはもちろんだが、カーブ、チェンジアップなどの変化球と制球力を高く評価されてきた。,"[(0, 10)]"
79,satofuutaはストレートはもちろんだが、カーブ、チェンジアップなどの変化球と制球力を高く評価されてきた。,"[(0, 9)]"
80,米大統領選の民主党候補指名を争うsatohasu上院議員に対してsatohasu上院議員が怒った。,"[(16, 24), (32, 40)]"
81,米大統領選の民主党候補指名を争うsatosakura上院議員に対してオバマsatosakura員が怒った。,"[(16, 26), (37, 47)]"
82,米大統領選の民主党候補指名を争うsatomisaki上院議員に対してオバマ上院議員がsatomisaki。,"[(16, 26), (42, 52)]"
83,米大統領選の民主党候補指名を争うsatomisaki上院議員に対してオバマ上院議員が怒った。satomisaki,"[(16, 26), (47, 57)]"
84,米大統領選の民主党候補指名を争うsatofuuta上院議員に対してオバマ上院議員が怒った。satofuuta,"[(16, 25), (51, 60)]"
85,satohasu氏の失言を執拗に追及するsatohasu氏の戦術が腹に据えかねたよう。,"[(0, 8), (20, 28)]"
86,satosakura氏の失言を執拗に追及するクリントンsatosakura腹に据えかねたよう。,"[(0, 10), (27, 37)]"
87,satomisaki氏の失言を執拗に追及するクリントン氏の戦術が腹にsatomisakiよう。,"[(0, 10), (34, 44)]"
88,satomisaki氏の失言を執拗に追及するクリントン氏の戦術が腹に据えかねたようsatomisaki,"[(0, 10), (41, 51)]"
89,satofuuta氏の失言を執拗に追及するクリントン氏の戦術が腹に据えかねたよう。satofuuta,"[(0, 9), (47, 56)]"
90,ハゲる条件を素に、国民的親父のsatohasuさんを分析してみました。,"[(15, 23)]"
91,ハゲる条件を素に、国民的親父のsatosakuraさんを分析してみました。,"[(15, 25)]"
92,ハゲる条件を素に、国民的親父のsatomisakiさんを分析してみました。,"[(15, 25)]"
93,ハゲる条件を素に、国民的親父のsatomisakiさんを分析してみました。,"[(15, 25)]"
94,ハゲる条件を素に、国民的親父のsatofuutaさんを分析してみました。,"[(15, 24)]"
95,satohasuさんはどうしてハゲたのか。,"[(0, 8)]"
96,satosakuraさんはどうしてハゲたのか。,"[(0, 10)]"
97,satomisakiさんはどうしてハゲたのか。,"[(0, 10)]"
98,satomisakiさんはどうしてハゲたのか。,"[(0, 10)]"
99,satofuutaさんはどうしてハゲたのか。,"[(0, 9)]"
100,satohasuさんのは、どこからハゲたのか。,"[(0, 8)]"
101,satosakuraさんのは、どこからハゲたのか。,"[(0, 10)]"
102,satomisakiさんのは、どこからハゲたのか。,"[(0, 10)]"
103,satomisakiさんのは、どこからハゲたのか。,"[(0, 10)]"
104,satofuutaさんのは、どこからハゲたのか。,"[(0, 9)]"
105,satohasu鑑定人によるsatohasuの精神鑑定書のなかに次のような一節がある。,"[(0, 8), (14, 22)]"
106,satosakura鑑定人による宮崎勤のsatosakura定書のなかに次のような一節がある。,"[(0, 10), (20, 30)]"
107,satomisaki鑑定人による宮崎勤の精神鑑定書のsatomisaki次のような一節がある。,"[(0, 10), (26, 36)]"
108,satomisaki鑑定人による宮崎勤の精神鑑定書のなかに次のよsatomisaki節がある。,"[(0, 10), (32, 42)]"
109,satofuuta鑑定人による宮崎勤の精神鑑定書のなかに次のような一節があsatofuuta,"[(0, 9), (37, 46)]"
110,左手の無いsatohasuが、カッコいいカラテの型を見せる異色のサスペンスである。,"[(5, 13)]"
111,左手の無いsatosakuraが、カッコいいカラテの型を見せる異色のサスペンスである。,"[(5, 15)]"
112,左手の無いsatomisakiが、カッコいいカラテの型を見せる異色のサスペンスである。,"[(5, 15)]"
113,左手の無いsatomisakiが、カッコいいカラテの型を見せる異色のサスペンスである。,"[(5, 15)]"
114,左手の無いsatofuutaが、カッコいいカラテの型を見せる異色のサスペンスである。,"[(5, 14)]"
115,怒っているsatohasuくんを、私は見たことがありません。,"[(5, 13)]"
116,怒っているsatosakuraくんを、私は見たことがありません。,"[(5, 15)]"
117,怒っているsatomisakiくんを、私は見たことがありません。,"[(5, 15)]"
118,怒っているsatomisakiくんを、私は見たことがありません。,"[(5, 15)]"
119,怒っているsatofuutaくんを、私は見たことがありません。,"[(5, 14)]"
120,去年も同じシチュエーションでsatohasuくんを撮りました。,"[(14, 22)]"
121,去年も同じシチュエーションでsatosakuraくんを撮りました。,"[(14, 24)]"
