name,rank,kanji,katakana,hiragana,roma
佐藤,1,佐藤,サトウ,さとう,sato
鈴木,2,鈴木,スズキ,すずき,suzuki
高橋,3,高橋,タカハシ,たかはし,takahashi
田中,4,田中,タナカ,たなか,tanaka
伊藤,5,伊藤,イトウ,いとう,ito
渡辺,6,渡辺,ワタナベ,わたなべ,watanabe
山本,7,山本,ヤマモト,やまもと,yamamoto
中村,8,中村,ナカムラ,なかむら,nakamura
小林,9,小林,コバヤシ,こばやし,kobayashi
加藤,10,加藤,カトウ,かとう,kato
吉田,11,吉田,ヨシダ,よしだ,yoshida
山田,12,山田,ヤマダ,やまだ,yamada
佐々木,13,佐々木,ササキ,ささき,sasaki
山口,14,山口,ヤマグチ,やまぐち,yamaguchi
松本,15,松本,マツモト,まつもと,matsumoto
井上,16,井上,イノウエ,いのうえ,inoue
木村,17,木村,キムラ,きむら,kimura
林,18,林,ハヤシ,はやし,hayashi
斎藤,19,斎藤,サイトウ,さいとう,saito
清水,20,清水,シミズ,しみず,shimizu
山崎,21,山崎,ヤマザキ,やまざき,yamazaki
森,22,森,モリ,もり,mori
池田,23,池田,イケダ,いけだ,ikeda
橋本,24,橋本,ハシモト,はしもと,hashimoto
阿部,25,阿部,アベ,あべ,abe
石川,26,石川,イシカワ,いしかわ,ishikawa
山下,27,山下,ヤマシタ,やました,yamashita
中島,28,中島,ナカジマ,なかじま,nakajima
石井,29,石井,イシイ,いしい,ishii
小川,30,小川,オガワ,おがわ,ogawa
前田,31,前田,マエダ,まえだ,maeda
岡田,32,岡田,オカダ,おかだ,okada
長谷川,33,長谷川,ハセガワ,はせがわ,hasegawa
藤田,34,藤田,フジタ,ふじた,fujita
後藤,35,後藤,ゴトウ,ごとう,goto
近藤,36,近藤,コンドウ,こんどう,kondou
村上,37,村上,ムラカミ,むらかみ,murakami
遠藤,38,遠藤,エンドウ,えんどう,endou
青木,39,青木,アオキ,あおき,aoki
坂本,40,坂本,サカモト,さかもと,sakamoto
斉藤,41,斉藤,サイトウ,さいとう,saito
福田,42,福田,フクダ,ふくだ,fukuda
太田,43,太田,オオタ,おおた,ota
西村,44,西村,ニシムラ,にしむら,nishimura
藤井,45,藤井,フジイ,ふじい,fujii
金子,46,金子,カネコ,かねこ,kaneko
岡本,47,岡本,オカモト,おかもと,okamoto
藤原,48,藤原,フジワラ,ふじわら,fujiwara
中野,49,中野,ナカノ,なかの,nakano
三浦,50,三浦,ミウラ,みうら,miura
原田,51,原田,ハラダ,はらだ,harada
中川,52,中川,ナカガワ,なかがわ,nakagawa
松田,53,松田,マツダ,まつだ,matsuda
竹内,54,竹内,タケウチ,たけうち,takeuchi
小野,55,小野,オノ,おの,ono
田村,56,田村,タムラ,たむら,tamura
中山,57,中山,ナカヤマ,なかやま,nakayama
和田,58,和田,ワダ,わだ,wada
石田,59,石田,イシダ,いしだ,ishida
森田,60,森田,モリタ,もりた,morita
上田,61,上田,ウエダ,うえだ,ueda
原,62,原,ハラ,はら,hara
内田,63,内田,ウチダ,うちだ,uchida
柴田,64,柴田,シバタ,しばた,shibata
酒井,65,酒井,サカイ,さかい,sakai
宮崎,66,宮崎,ミヤザキ,みやざき,miyazaki
横山,67,横山,ヨコヤマ,よこやま,yokoyama
高木,68,高木,タカギ,たかぎ,takagi
安藤,69,安藤,アンドウ,あんどう,andou
宮本,70,宮本,ミヤモト,みやもと,miyamoto
大野,71,大野,オオノ,おおの,ono
小島,72,小島,コジマ,こじま,kojima
谷口,73,谷口,タニグチ,たにぐち,taniguchi
今井,74,今井,イマイ,いまい,imai
工藤,75,工藤,クドウ,くどう,kudou
高田,76,高田,タカダ,たかだ,takada
増田,77,増田,マスダ,ますだ,masuda
丸山,78,丸山,マルヤマ,まるやま,maruyama
杉山,79,杉山,スギヤマ,すぎやま,sugiyama
村田,80,村田,ムラタ,むらた,murata
大塚,81,大塚,オオツカ,おおつか,otsuka
新井,82,新井,アライ,あらい,arai
小山,83,小山,オヤマ,おやま,oyama
平野,84,平野,ヘイヤ,へいや,heiya
藤本,85,藤本,フジモト,ふじもと,fujimoto
河野,86,河野,コウノ,こうの,kono
上野,87,上野,ウエノ,うえの,ueno
野口,88,野口,ノグチ,のぐち,noguchi
武田,89,武田,タケダ,たけだ,takeda
松井,90,松井,マツイ,まつい,matsui
千葉,91,千葉,チバ,ちば,chiba
岩崎,92,岩崎,イワサキ,いわさき,iwasaki
菅原,93,菅原,スガワラ,すがわら,sugawara
木下,94,木下,キノシタ,きのした,kinoshita
久保,95,久保,クボ,くぼ,kubo
佐野,96,佐野,サノ,さの,sano
野村,97,野村,ノムラ,のむら,nomura
松尾,98,松尾,マツオ,まつお,matsuo
市川,99,市川,イチカワ,いちかわ,ichikawa
菊地,100,菊地,キクチ,きくち,kikuchi
倉中,19951,倉中,クラナカ,くらなか,kuranaka
當房,19952,當房,トウボウ,とうぼう,tobo
廉沢,19953,廉沢,レンサワ,れんさわ,rensawa
仁位,19954,仁位,ニイ,にい,nii
遊間,19955,遊間,ユウカン,ゆうかん,yuukan
上ノ坊,19956,上ノ坊,ウエノボウ,うえのぼう,uenobo
赤鹿,19957,赤鹿,アカシカ,あかしか,akashika
飛嶋,19958,飛嶋,トビシマ,とびしま,tobishima
玄馬,19959,玄馬,ゲンマ,げんま,gemma
井手之上,19960,井手之上,イデユキウエ,いでゆきうえ,ideyukiue
東司,19961,東司,トウス,とうす,tosu
屋野,19962,屋野,ヤノ,やの,yano
釣船,19963,釣船,ツリブネ,つりぶね,tsuribune
廣戸,19964,廣戸,コウコ,こうこ,koko
光久,19965,光久,ミツヒサ,みつひさ,mitsuhisa
岡名,19966,岡名,オカメイ,おかめい,okamei
宮久,19967,宮久,ミヤキュウ,みやきゅう,miyakyuu
二森,19968,二森,ニモリ,にもり,nimori
東舘,19969,東舘,ヒガシカン,ひがしかん,higashikan
佐滝,19970,佐滝,サタキ,さたき,sataki
港川,19971,港川,ミナトガワ,みなとがわ,minatogawa
志萱,19972,志萱,ココロザシカヤ,こころざしかや,kokorozashikaya
角上,19973,角上,カクジョウ,かくじょう,kakujou
弓戸,19974,弓戸,ユミコ,ゆみこ,yumiko
常沢,19975,常沢,ツネサワ,つねさわ,tsunesawa
羽迫,19976,羽迫,ハサコ,はさこ,hasako
小見野,19977,小見野,オミノ,おみの,omino
樋代,19978,樋代,ヒダイ,ひだい,hidai
茅本,19979,茅本,メホン,めほん,mehon
栄福,19980,栄福,エイフク,えいふく,eifuku
灘谷,19981,灘谷,ナダタニ,なだたに,nadatani
山名田,19982,山名田,サンメイタ,さんめいた,sammeita
大薄,19983,大薄,ダイハク,だいはく,daihaku
神南,19984,神南,ジンナン,じんなん,jinnan
寿松木,19985,寿松木,スズキ,すずき,suzuki
澁川,19986,澁川,シブカワ,しぶかわ,shibukawa
小指,19987,小指,コユビ,こゆび,koyubi
道祖尾,19988,道祖尾,ドウソオ,どうそお,dousoo
沼生,19989,沼生,ヌマナマ,ぬまなま,numanama
橋根,19990,橋根,ハシネ,はしね,hashine
相園,19991,相園,アイゾノ,あいぞの,aizono
貴俵,19992,貴俵,キタワラ,きたわら,kitawara
大日,19993,大日,ダイニチ,だいにち,dainichi
本樫,19994,本樫,ホンカシ,ほんかし,honkashi
東仲,19995,東仲,ヒガシナカ,ひがしなか,higashinaka
衣田,19996,衣田,コロモタ,ころもた,koromota
藤満,19997,藤満,フジマン,ふじまん,fujiman
数間,19998,数間,カズカン,かずかん,kazukan
静川,19999,静川,シズカワ,しずかわ,shizukawa
山木戸,20000,山木戸,ヤマキコ,やまきこ,yamakiko
高長,20001,高長,タカチョウ,たかちょう,takacho
播磨谷,20002,播磨谷,ハリマヤ,はりまや,harimaya
柏樹,20003,柏樹,ハクジュ,はくじゅ,hakuju
信山,20004,信山,シンザン,しんざん,shinzan
無田,20005,無田,ムタ,むた,muta
倉森,20006,倉森,クラモリ,くらもり,kuramori
礎,20007,礎,イシズエ,いしずえ,ishizue
郡田,20008,郡田,グンタ,ぐんた,gunta
鞘野,20009,鞘野,サヤノ,さやの,sayano
古賀野,20010,古賀野,コガノ,こがの,kogano
小瀬戸,20011,小瀬戸,オゼコ,おぜこ,ozeko
獅子倉,20012,獅子倉,シシクラ,ししくら,shishikura
保居,20013,保居,ホキョ,ほきょ,hokyo
見富,20014,見富,ケントミ,けんとみ,kentomi
垣貫,20015,垣貫,カキカン,かきかん,kakikan
兼吉,20016,兼吉,カネキチ,かねきち,kanekichi
佐土,20017,佐土,サツチ,さつち,satsuchi
光平,20018,光平,コウヘイ,こうへい,kohei
田間,20019,田間,タカン,たかん,takan
藤峰,20020,藤峰,フジミネ,ふじみね,fujimine
越坂部,20021,越坂部,エツサカベ,えつさかべ,etsusakabe
口元,20022,口元,クチモト,くちもと,kuchimoto
森茂,20023,森茂,モリシゲル,もりしげる,morishigeru
小嵜,20024,小嵜,オザキ,おざき,ozaki
畠腹,20025,畠腹,ハタケハラ,はたけはら,hatakehara
蒲澤,20026,蒲澤,カマサワ,かまさわ,kamasawa
大黒谷,20027,大黒谷,ダイコクタニ,だいこくたに,daikokutani
魚躬,20028,魚躬,サカナキュウ,さかなきゅう,sakanakyuu
行定,20029,行定,ギョウテイ,ぎょうてい,gyoutei
山福,20030,山福,ヤマフク,やまふく,yamafuku
勝城,20031,勝城,カツキ,かつき,katsuki
小豆,20032,小豆,アズキ,あずき,azuki
小長野,20033,小長野,コナガノ,こながの,konagano
増金,20034,増金,ゾウキン,ぞうきん,zoukin
鑓溝,20035,鑓溝,ヤリミゾ,やりみぞ,yarimizo
伝農,20036,伝農,デンノウ,でんのう,dennou
元澤,20037,元澤,モトサワ,もとさわ,motosawa
八月朔日,20038,八月朔日,ハチガツサクジツ,はちがつさくじつ,hachigatsusakujitsu
阿倍,20039,阿倍,アベ,あべ,abe
塩内,20040,塩内,シオウチ,しおうち,shiochi
拝原,20041,拝原,ハイハラ,はいはら,haihara
